iter	Passed	Remaining
707	2678	1104
708	2685	1102
709	2690	1099
710	2693	1094
711	2702	1093
712	2705	1089
713	2707	1084
714	2710	1080
715	2718	1078
716	2720	1073
717	2723	1069
718	2726	1065
719	2732	1062
720	2735	1058
721	2737	1054
722	2740	1049
723	2746	1046
724	2751	1043
725	2754	1039
726	2757	1035
727	2764	1032
728	2766	1028
729	2769	1024
730	2773	1020
731	2779	1017
732	2782	1013
733	2784	1009
734	2787	1005
735	2793	1001
736	2795	997
737	2798	993
738	2801	989
739	2803	985
740	2808	981
741	2811	977
742	2814	973
743	2817	969
744	2819	965
745	2824	961
746	2826	957
747	2829	953
748	2832	949
749	2837	945
750	2841	942
751	2844	937
752	2847	933
753	2849	929
754	2852	925
755	2855	921
756	2858	917
757	2860	913
758	2866	910
759	2869	906
760	2872	901
761	2874	897
762	2877	893
763	2882	890
764	2885	886
765	2888	882
766	2890	878
767	2894	874
768	2897	870
769	2900	866
770	2903	862
771	2906	858
772	2908	854
773	2912	850
774	2915	846
775	2917	842
776	2920	838
777	2923	834
778	2928	830
779	2931	826
780	2934	822
781	2938	819
782	2944	815
783	2946	811
784	2950	807
785	2952	803
786	2955	799
787	2958	795
788	2961	791
789	2964	787
790	2966	783
791	2969	779
792	2973	776
793	2976	772
794	2979	768
795	2981	764
796	2985	760
797	2989	756
798	2991	752
799	2994	748
800	2997	744
801	2999	740
802	3004	737
803	3006	733
804	3009	728
805	3011	724
806	3014	720
807	3018	717
808	3021	713
809	3024	709
810	3027	705
811	3029	701
812	3033	697
813	3036	693
814	3039	689
815	3041	685
816	3044	681
817	3048	678
818	3051	674
819	3053	670
820	3056	666
821	3062	663
822	3064	659
823	3067	655
824	3070	651
825	3073	647
826	3078	643
827	3080	639
828	3083	636
829	3086	632
830	3089	628
831	3093	624
832	3096	620
833	3099	616
834	3101	612
835	3105	609
836	3108	605
837	3111	601
838	3114	597
839	3117	593
840	3123	590
841	3128	586
842	3131	583
843	3137	579
844	3140	576
845	3144	572
846	3147	568
847	3152	565
848	3154	561
849	3158	557
850	3163	553
851	3170	550
852	3173	546
853	3176	543
854	3179	539
855	3185	535
856	3188	532
857	3190	528
858	3193	524
859	3200	520
860	3203	517
861	3206	513
862	3209	509
863	3214	505
864	3216	502
865	3219	498
866	3221	494
867	3224	490
868	3228	486
869	3235	483
870	3240	479
871	3245	476
872	3248	472
873	3251	468
874	3255	465
875	3258	461
876	3261	457
877	3263	453
878	3266	449
879	3272	446
880	3276	442
881	3279	438
882	3281	434
883	3288	431
884	3291	427
885	3293	423
886	3296	419
887	3301	416
888	3304	412
889	3307	408
890	3310	404
891	3324	402
892	3328	398
893	3336	395
894	3340	391
895	3352	389
896	3356	385
897	3358	381
898	3366	378
899	3370	374
900	3372	370
901	3376	366
902	3383	363
903	3386	359
904	3389	355
905	3394	352
906	3398	348
907	3401	344
908	3406	340
909	3412	337
910	3415	333
911	3418	329
912	3421	325
913	3426	322
914	3429	318
915	3431	314
916	3434	310
917	3436	306
918	3441	303
919	3446	299
920	3449	295
921	3452	292
922	3459	288
923	3462	284
924	3466	281
925	3471	277
926	3476	273
927	3479	269
928	3482	266
929	3487	262
930	3491	258
931	3494	254
932	3496	251
933	3502	247
934	3505	243
935	3508	239
936	3510	236
937	3513	232
938	3519	228
939	3522	224
940	3530	221
941	3540	217
942	3543	214
943	3550	210
944	3555	206
945	3563	203
946	3569	199
947	3572	195
948	3577	192
949	3581	188
950	3585	184
951	3589	180
952	3595	177
953	3599	173
954	3602	169
955	3611	166
956	3615	162
957	3619	158
958	3626	155
959	3629	151
960	3637	147
961	3643	143
962	3647	140
963	3651	136
964	3657	132
965	3662	128
966	3666	125
967	3680	121
968	3683	117
969	3689	114
970	3693	110
971	3696	106
972	3700	102
973	3707	98
974	3711	95
975	3714	91
976	3716	87
977	3722	83
978	3725	79
979	3728	76
980	3731	72
981	3736	68
982	3739	64
983	3742	60
984	3745	57
985	3750	53
986	3753	49
987	3756	45
988	3760	41
989	3767	38
990	3773	34
991	3778	30
992	3782	26
993	3787	22
994	3790	19
995	3793	15
996	3797	11
997	3801	7
998	3804	3
999	3809	0
