iter	Passed	Remaining
522	1284	1171
523	1286	1168
524	1288	1165
525	1290	1162
526	1292	1160
527	1295	1157
528	1297	1155
529	1300	1152
530	1302	1150
531	1304	1147
532	1307	1145
533	1309	1143
534	1312	1140
535	1315	1138
536	1317	1135
537	1319	1133
538	1322	1130
539	1324	1128
540	1327	1126
541	1329	1123
542	1332	1121
543	1334	1118
544	1336	1116
545	1339	1113
546	1341	1111
547	1344	1108
548	1346	1106
549	1349	1104
550	1351	1101
551	1354	1099
552	1356	1096
553	1359	1094
554	1361	1091
555	1364	1089
556	1366	1087
557	1369	1084
558	1371	1082
559	1374	1079
560	1376	1077
561	1379	1074
562	1381	1072
563	1384	1069
564	1386	1067
565	1389	1065
566	1391	1062
567	1394	1060
568	1396	1057
569	1398	1055
570	1401	1052
571	1403	1050
572	1406	1048
573	1408	1045
574	1411	1043
575	1414	1040
576	1416	1038
577	1419	1036
578	1421	1033
579	1423	1031
580	1426	1028
581	1428	1026
582	1430	1023
583	1433	1020
584	1435	1018
585	1438	1016
586	1440	1013
587	1443	1011
588	1445	1008
589	1448	1006
590	1450	1003
591	1453	1001
592	1455	998
593	1458	996
594	1460	994
595	1463	991
596	1465	989
597	1468	986
598	1470	984
599	1472	981
600	1475	979
601	1477	976
602	1480	974
603	1482	972
604	1485	969
605	1487	967
606	1489	964
607	1492	962
608	1494	959
609	1499	958
610	1501	956
611	1504	953
612	1506	950
613	1508	948
614	1511	946
615	1513	943
616	1516	941
617	1518	938
618	1521	936
619	1523	933
620	1525	931
621	1528	928
622	1530	926
623	1533	923
624	1535	921
625	1538	919
626	1540	916
627	1542	913
628	1544	911
629	1547	908
630	1550	906
631	1552	904
632	1555	901
633	1557	899
634	1560	896
635	1562	894
636	1565	891
637	1567	889
638	1570	887
639	1572	884
640	1575	882
641	1577	879
642	1579	877
643	1582	874
644	1584	872
645	1586	869
646	1589	867
647	1591	864
648	1594	862
649	1596	859
650	1599	857
651	1601	854
652	1603	852
653	1606	849
654	1608	847
655	1611	844
656	1613	842
657	1616	840
658	1618	837
659	1620	835
660	1623	832
661	1626	830
662	1628	827
663	1631	825
664	1633	822
665	1636	820
666	1638	818
667	1641	815
668	1643	813
669	1646	810
670	1648	808
671	1651	805
672	1653	803
673	1655	800
674	1657	798
675	1660	795
676	1662	793
677	1664	790
678	1666	787
679	1669	785
680	1671	782
681	1673	780
682	1675	777
683	1678	775
684	1681	773
685	1683	770
686	1685	768
687	1687	765
688	1690	762
689	1692	760
690	1695	758
691	1697	755
692	1700	753
693	1702	750
694	1705	748
695	1707	745
696	1710	743
697	1712	740
698	1715	738
699	1717	736
700	1720	733
701	1722	731
702	1725	728
703	1727	726
704	1730	724
705	1731	721
706	1734	718
707	1736	716
708	1739	713
709	1741	711
710	1744	708
711	1746	706
712	1749	704
713	1751	701
714	1754	699
715	1757	696
716	1759	694
717	1762	692
718	1764	689
719	1767	687
720	1769	684
721	1772	682
722	1774	680
723	1777	677
724	1779	675
725	1782	672
726	1784	670
727	1787	667
728	1789	665
729	1792	662
730	1794	660
731	1797	658
732	1799	655
733	1802	653
734	1804	650
735	1806	648
736	1809	645
737	1811	643
738	1813	640
739	1816	638
740	1818	635
741	1821	633
742	1823	630
743	1826	628
744	1828	625
745	1830	623
746	1833	620
747	1835	618
748	1837	615
749	1840	613
750	1842	611
751	1845	608
752	1847	606
753	1850	603
754	1852	601
755	1855	598
756	1858	596
757	1860	593
758	1862	591
759	1865	589
760	1867	586
761	1870	584
762	1872	581
763	1874	579
764	1877	576
765	1880	574
766	1882	571
767	1884	569
768	1887	566
769	1889	564
770	1892	562
771	1894	559
772	1897	557
773	1899	554
774	1902	552
775	1904	549
776	1907	547
777	1909	544
778	1912	542
779	1914	539
780	1917	537
781	1919	535
782	1922	532
783	1924	530
784	1926	527
785	1929	525
786	1931	522
787	1934	520
788	1936	517
789	1939	515
790	1941	513
791	1944	510
792	1946	508
793	1948	505
794	1951	503
795	1953	500
796	1956	498
797	1958	495
798	1961	493
799	1963	490
800	1966	488
801	1968	486
802	1971	483
803	1973	481
804	1976	478
805	1978	476
806	1981	473
807	1984	471
808	1986	469
809	1989	466
810	1992	464
811	1994	461
812	1996	459
813	1999	456
814	2001	454
815	2003	451
816	2005	449
817	2007	446
818	2009	444
819	2011	441
820	2013	439
821	2015	436
822	2017	433
823	2019	431
824	2021	428
825	2023	426
826	2026	423
827	2028	421
828	2031	418
829	2033	416
830	2035	414
831	2038	411
832	2040	409
833	2043	406
834	2045	404
835	2048	401
836	2050	399
837	2053	396
838	2055	394
839	2057	391
840	2060	389
841	2062	387
842	2065	384
843	2067	382
844	2070	379
845	2072	377
846	2075	374
847	2077	372
848	2079	369
849	2082	367
850	2084	365
851	2087	362
852	2089	360
853	2092	357
854	2094	355
855	2097	352
856	2099	350
857	2102	347
858	2104	345
859	2106	342
860	2109	340
861	2111	338
862	2114	335
863	2116	333
864	2119	330
865	2121	328
866	2124	325
867	2126	323
868	2129	320
869	2131	318
870	2134	316
871	2136	313
872	2138	311
873	2141	308
874	2143	306
875	2146	303
876	2148	301
877	2151	298
878	2153	296
879	2155	293
880	2158	291
881	2160	289
882	2163	286
883	2166	284
884	2168	281
885	2170	279
886	2173	276
887	2176	274
888	2178	271
889	2180	269
890	2183	267
891	2185	264
892	2188	262
893	2190	259
894	2193	257
895	2195	254
896	2198	252
897	2200	249
898	2202	247
899	2205	245
900	2207	242
901	2210	240
902	2213	237
903	2215	235
904	2218	232
905	2220	230
906	2223	228
907	2226	225
908	2228	223
909	2231	220
910	2233	218
911	2237	215
912	2239	213
913	2241	210
914	2244	208
915	2246	206
916	2249	203
917	2251	201
918	2254	198
919	2256	196
920	2259	193
921	2261	191
922	2263	188
923	2266	186
924	2269	183
925	2271	181
926	2274	179
927	2276	176
928	2278	174
929	2280	171
930	2283	169
931	2285	166
932	2288	164
933	2290	161
934	2292	159
935	2295	156
936	2297	154
937	2300	152
938	2302	149
939	2305	147
940	2307	144
941	2310	142
942	2312	139
943	2314	137
944	2317	134
945	2319	132
946	2322	129
947	2324	127
948	2327	125
949	2329	122
950	2331	120
951	2334	117
952	2336	115
953	2339	112
954	2341	110
955	2344	107
956	2346	105
957	2349	102
958	2351	100
959	2354	98
960	2356	95
961	2359	93
962	2361	90
963	2364	88
964	2366	85
965	2369	83
966	2371	80
967	2373	78
968	2376	76
969	2378	73
970	2381	71
971	2383	68
972	2386	66
973	2388	63
974	2391	61
975	2393	58
976	2396	56
977	2399	53
978	2401	51
979	2404	49
980	2406	46
981	2409	44
982	2411	41
983	2413	39
984	2415	36
985	2417	34
986	2420	31
987	2422	29
988	2424	26
989	2427	24
990	2429	22
991	2431	19
992	2434	17
993	2437	14
994	2439	12
995	2441	9
996	2444	7
997	2446	4
998	2449	2
999	2451	0
